store_id,store_name,suburb,date,year,week,month,season,sales_units,price_per_unit,sales_revenue,avg_temp_c,promo_spend,holiday_flag,median_income,education_bachelor_pct,population_density
HBM-001,Harbour Brew Market – Newtown #1,Newtown,6/01/2019,2019,1,1,Summer,368,4.7,1730.32,24.1,0,1,124024,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,13/01/2019,2019,2,1,Summer,389,4.53,1760.42,21.1,0,1,124050,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,20/01/2019,2019,3,1,Summer,423,4.57,1933.01,23.1,0,1,124075,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,27/01/2019,2019,4,1,Summer,358,4.58,1639.28,23.2,0,1,124101,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,3/02/2019,2019,5,2,Summer,250,4.55,1136.31,23.5,5000,0,124127,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,10/02/2019,2019,6,2,Summer,302,4.54,1372.46,24.2,0,0,124152,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,17/02/2019,2019,7,2,Summer,252,4.46,1124.15,25,0,0,124178,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,24/02/2019,2019,8,2,Summer,261,4.58,1196.32,23.2,0,0,124203,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,3/03/2019,2019,9,3,Autumn,262,4.56,1194.01,24.1,0,0,124229,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,10/03/2019,2019,10,3,Autumn,289,4.54,1311.72,22.9,0,0,124255,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,17/03/2019,2019,11,3,Autumn,287,4.57,1312.8,23.2,0,0,124280,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,24/03/2019,2019,12,3,Autumn,314,4.53,1423.56,22.7,0,0,124306,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,31/03/2019,2019,13,3,Autumn,286,4.6,1315.74,23.6,0,0,124332,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,7/04/2019,2019,14,4,Autumn,288,4.56,1314.69,20.7,0,0,124357,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,14/04/2019,2019,15,4,Autumn,346,4.47,1546.78,19.6,0,0,124383,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,21/04/2019,2019,16,4,Autumn,289,4.55,1315.71,20.8,0,0,124409,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,28/04/2019,2019,17,4,Autumn,310,4.68,1451.28,21.8,0,0,124434,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,5/05/2019,2019,18,5,Autumn,358,4.52,1616.96,17.4,8000,0,124460,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,12/05/2019,2019,19,5,Autumn,340,4.52,1537.63,19.8,5000,0,124486,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,19/05/2019,2019,20,5,Autumn,362,4.46,1615.08,18.6,8000,0,124511,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,26/05/2019,2019,21,5,Autumn,323,4.56,1473.56,18.3,3000,0,124537,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,2/06/2019,2019,22,6,Winter,315,4.56,1435.24,15.2,0,0,124562,0.551,5771
HBM-001,Harbour Brew Market – Newtown #1,Newtown,9/06/2019,2019,23,6,Winter,271,4.56,1234.91,14.3,0,0,124588,0.551,5771
